TIMESTAMP,FECHA,HORA,TIPO_EVENTO,DESCRIPCION
1763338795199,16/11/2025,21:19:55,INICIO,"Aplicación iniciada"
1763338795233,16/11/2025,21:19:55,SISTEMA,"Archivo de slots cargado: 6 slots"
1763338795330,16/11/2025,21:19:55,CONEXION,"Conectado al puerto serial: COM7"
1763338796419,16/11/2025,21:19:56,CALIBRACION,"Calibración iniciada"
1763338839158,16/11/2025,21:20:39,CALIBRACION,"Motor X calibrado"
1763338839192,16/11/2025,21:20:39,SENSOR,"DHT11 activado - Temp:25.9°C Hum:32.0%"
1763338841248,16/11/2025,21:20:41,CALIBRACION,"Motor Y calibrado"
1763338843069,16/11/2025,21:20:43,CALIBRACION,"Calibración completada exitosamente"
1763338853207,16/11/2025,21:20:53,SISTEMA,"Histórico de eventos abierto por el usuario"
1763338861757,16/11/2025,21:21:01,SISTEMA,"Histórico de eventos abierto por el usuario"
1763339089071,16/11/2025,21:24:49,INICIO,"Aplicación iniciada"
1763339089105,16/11/2025,21:24:49,SISTEMA,"Archivo de slots cargado: 6 slots"
1763339089216,16/11/2025,21:24:49,CONEXION,"Conectado al puerto serial: COM7"
1763339090567,16/11/2025,21:24:50,CALIBRACION,"Calibración iniciada"
1763339092167,16/11/2025,21:24:52,CALIBRACION,"Motor X calibrado"
1763339093748,16/11/2025,21:24:53,CALIBRACION,"Motor Y calibrado"
1763339093780,16/11/2025,21:24:53,SENSOR,"DHT11 activado - Temp:26.0°C Hum:32.0%"
1763339094932,16/11/2025,21:24:54,CALIBRACION,"Calibración completada exitosamente"
1763339099897,16/11/2025,21:24:59,MOVIMIENTO,"Motor X adelante (posición actual: 0)"
1763339106847,16/11/2025,21:25:06,MOVIMIENTO,"Motor Y adelante (posición actual: 0)"
1763339111798,16/11/2025,21:25:11,SISTEMA,"Histórico de eventos abierto por el usuario"
1763339124034,16/11/2025,21:25:24,SISTEMA,"Histórico de eventos abierto por el usuario"
1763339203708,16/11/2025,21:26:43,INICIO,"Aplicación iniciada"
1763339203739,16/11/2025,21:26:43,SISTEMA,"Archivo de slots cargado: 6 slots"
1763339203845,16/11/2025,21:26:43,CONEXION,"Conectado al puerto serial: COM7"
1763339204819,16/11/2025,21:26:44,CALIBRACION,"Calibración iniciada"
1763339211251,16/11/2025,21:26:51,CALIBRACION,"Motor X calibrado"
1763339211285,16/11/2025,21:26:51,SENSOR,"DHT11 activado - Temp:26.0°C Hum:32.0%"
1763339215994,16/11/2025,21:26:55,CALIBRACION,"Motor Y calibrado"
1763339217567,16/11/2025,21:26:57,CALIBRACION,"Calibración completada exitosamente"
1763343303159,16/11/2025,22:35:03,INICIO,"Aplicación iniciada"
1763343303202,16/11/2025,22:35:03,SISTEMA,"Archivo de slots cargado: 6 slots"
1763343303344,16/11/2025,22:35:03,ERROR,"No se pudo conectar al puerto serial"
1763343305647,16/11/2025,22:35:05,SISTEMA,"Aplicación cerrada"
1763343778484,16/11/2025,22:42:58,INICIO,"Aplicación iniciada"
1763343778522,16/11/2025,22:42:58,SISTEMA,"Archivo de slots cargado: 6 slots"
1763343778606,16/11/2025,22:42:58,ERROR,"No se pudo conectar al puerto serial"
1763343860468,16/11/2025,22:44:20,INICIO,"Aplicación iniciada"
1763343860509,16/11/2025,22:44:20,SISTEMA,"Archivo de slots cargado: 6 slots"
1763343860619,16/11/2025,22:44:20,CONEXION,"Conectado al puerto serial: COM7"
1763343861684,16/11/2025,22:44:21,CALIBRACION,"Calibración iniciada"
1763343863403,16/11/2025,22:44:23,CALIBRACION,"Motor X calibrado"
1763343865019,16/11/2025,22:44:25,CALIBRACION,"Motor Y calibrado"
1763343865052,16/11/2025,22:44:25,SENSOR,"DHT11 activado - Temp:25.0°C Hum:30.0%"
1763343866320,16/11/2025,22:44:26,CALIBRACION,"Calibración completada exitosamente"
1763343868256,16/11/2025,22:44:28,POSICION_ALEATORIA,"X:26072 Y:8141"
